condition,mean_accuracy,mean_auc,S_lambda_0_25,S_lambda_0_50,S_lambda_0_75
"No DP, no chunk (baseline)",0.395108,0.9898952777777777,0.05138336111111114,-0.29234127777777774,-0.6360659166666666
"No DP, no chunk (baseline)",0.46726720000000005,0.9796398958333332,0.11063045208333344,-0.2460062958333332,-0.6026430437499998
"No DP, no chunk (baseline)",0.491782,0.9754860500000001,0.13109347499999996,-0.2295950500000001,-0.5902835750000001
"No DP, no chunk (baseline)",0.4897938666666667,0.9710006666666666,0.13184506666666673,-0.22610373333333328,-0.5840525333333333
DP only,0.190856,0.5260413888888889,0.13012130555555557,0.06938661111111115,0.008651916666666724
DP only,0.2164088,0.5037176041666667,0.1604477979166667,0.10448679583333334,0.048525793750000004
DP only,0.23123080000000001,0.5297517,0.15854724999999997,0.08586369999999996,0.013180149999999932
DP only,0.2370944,0.5069538,0.1743439,0.1115934,0.04884289999999999
Topology-aware chunking,0.359682,0.9843675000000001,0.027577749999999956,-0.30452650000000003,-0.6366307500000001
Topology-aware chunking,0.4045424000000001,0.8865945833333335,0.11010950833333333,-0.18432338333333348,-0.4787562750000003
Topology-aware chunking,0.4456772,0.7477566999999999,0.21037955000000003,-0.024918099999999943,-0.2602157499999999
Topology-aware chunking,0.4654221333333333,0.6739507,0.26209125,0.05876036666666665,-0.1445705166666667
ChunkDP,0.187414,0.5644575,0.10833175000000003,0.029249500000000053,-0.04983274999999992
ChunkDP,0.2315728,0.5523040625,0.14752756875,0.06348233750000003,-0.020562893749999957
ChunkDP,0.2815424,0.5458045,0.18825455000000002,0.09496669999999999,0.0016788499999999679
ChunkDP,0.3070432,0.5425495,0.20900765,0.11097209999999999,0.012936549999999977
